id,name,state_id
res_country_city_343,直辖县级,新疆维吾尔自治区
res_country_city_344,保山市,云南省
res_country_city_345,楚雄彝族自治州,云南省
res_country_city_346,大理白族自治州,云南省
res_country_city_347,德宏傣族景颇族自治州,云南省
res_country_city_348,迪庆藏族自治州,云南省
res_country_city_349,红河哈尼族彝族自治州,云南省
res_country_city_350,昆明市,云南省
res_country_city_351,丽江市,云南省
res_country_city_352,临沧市,云南省
res_country_city_353,怒江傈僳族自治州,云南省
res_country_city_354,普洱市,云南省
res_country_city_355,曲靖市,云南省
res_country_city_356,文山壮族苗族自治州,云南省
res_country_city_357,西双版纳傣族自治州,云南省
res_country_city_358,玉溪市,云南省
res_country_city_359,昭通市,云南省
res_country_city_360,杭州市,浙江省
res_country_city_361,湖州市,浙江省
res_country_city_362,嘉兴市,浙江省
res_country_city_363,金华市,浙江省
res_country_city_364,丽水市,浙江省
res_country_city_365,宁波市,浙江省
res_country_city_366,衢州市,浙江省
res_country_city_367,绍兴市,浙江省
res_country_city_368,台州市,浙江省
res_country_city_369,温州市,浙江省
res_country_city_370,舟山群岛新区,浙江省
res_country_city_371,舟山市,浙江省
res_country_city_372,两江新区,重庆市
res_country_city_373,重庆市,重庆市
res_country_city_374,思茅市,云南省
